Cell ID,FIRST_IDDP,Location,Median Performance Download Speed first,Median Performance Download Speed second,Median Performance Download Speed (Busy Time) first,Median Performance Download Speed (Busy Time) second,Median Performance Round-Trip Time first,Median Performance Round-Trip Time second,Median Performance Signal Strength first,Median Performance Signal Strength second,Indicador de congesti�n first,Indicador de congesti�n second,Ejemplos first,Ejemplos second,Alert Occurrence first,Alert Occurrence second
4760_57418,01,Amazonas,376,0.990625,352,0.9875,791,0.984375,-87,0.3875,0.784626354,0.865625,3286,0.8375,9,24934
4930_41611,01,Amazonas,460,0.98125,464,0.978125,820,0.99375,-89,0.43125,0.394852592,0.803125,1692,0.546875,3,6362
4760_65025,01,Amazonas,389,0.9875,352,0.9875,814,0.990625,-91,0.503125,0.566618779,0.85625,3515,0.865625,9,27536
4930_55837,01,Amazonas,639,0.959375,664,0.95625,603,0.953125,-89,0.43125,-0.114557921,0.3,1891,0.603125,2,5790
4930_55905,01,Amazonas,416,0.984375,440,0.984375,903,0.996875,-93,0.6,0.108184483,0.565625,1712,0.559375,4,7120
4930_55915,01,Amazonas,316,0.996875,264,0.996875,317,0.65,-93,0.6,0.46800871,0.840625,5093,0.95625,4,13600
4930_56245,01,Amazonas,536,0.978125,551,0.971875,689,0.971875,-91,0.503125,0.427201583,0.83125,4676,0.934375,3,13444
4930_33659,01,Amazonas,360,0.99375,328,0.99375,556,0.9375,-95,0.74375,0.100617703,0.55625,4123,0.9125,3,12978
4930_49940,01,Amazonas,677,0.953125,560,0.96875,583,0.94375,-97,0.834375,0.580486011,0.859375,2582,0.75625,2,9979
4760_38768,01,Amazonas,697,0.95,464,0.978125,493,0.909375,-87,0.3875,0.475739322,0.84375,5321,0.96875,9,46488
4560_801,02,Ancash,823,0.962264151,708,0.972746331,566,0.973794549,-93,0.806079665,0.569621406,0.882599581,1779,0.623689727,1,2232
4560_11,02,Ancash,797,0.965408805,826,0.959119497,562,0.972746331,-95,0.886792453,0.306312985,0.798742138,3911,0.864779874,2,5650
4560_64846,02,Ancash,777,0.971698113,748,0.966457023,459,0.943396226,-81,0.442348008,0.380799349,0.84067086,2847,0.763102725,1,3887
4560_57759,02,Ancash,1006,0.937106918,882,0.947589099,488,0.959119497,-91,0.730607966,0.475959044,0.865828092,7168,0.972746331,2,10014
4560_10725,02,Ancash,1587,0.806079665,1784,0.785115304,518,0.966457023,-95,0.886792453,0.136570316,0.65932914,1371,0.532494759,1,2253
4560_37682,02,Ancash,504,0.995807128,432,0.996855346,786,0.995807128,-93,0.806079665,0.507407613,0.873165618,6557,0.966457023,2,9533
